,last_update,pub_key,alias,addresses,color,num_channels,total_capacity,type,Comment
998,1663748938,021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d,LOOP,"[{'network': 'tcp', 'addr': '44.228.158.82:9735'}]",#3399ff,66,48.95764248,Swap service,
2667,1663751527,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,deezy.io ⚡✨,"[{'network': 'tcp', 'addr': '52.1.72.207:9735'}, {'network': 'tcp', 'addr': 'ecu3omnk6kxer5hw35owlzhw3xuqfroxjnnflbkjkc7xy2jy3gy7b2yd.onion:9735'}]",#3399ff,736,73.10487719,Swap service,
3349,1663723607,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,Moon (paywithmoon.com),"[{'network': 'tcp', 'addr': '52.86.210.65:9735'}]",#3399ff,562,66.77117862,LN wallet,
3419,1663748938,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,southxchange.com,"[{'network': 'tcp', 'addr': '54.187.0.23:9735'}]",#428bca,801,90.83776972,Exchange,
3439,1663727700,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,Boltz,"[{'network': 'tcp', 'addr': '104.196.200.39:9735'}, {'network': 'tcp', 'addr': 'd7kak4gpnbamm3b4ufq54aatgm3alhx3jwmu6kyy2bgjaauinkipz3id.onion:9735'}]",#ff9800,1192,53.04071929,Swap service,Swap service & Exchange
4797,1663726260,0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,yalls.org clearnet-yalls,"[{'network': 'tcp', 'addr': '18.219.93.203:9735'}]",#f8e71c,113,50.8668996,Routing node,Business & Routing node (Run by Alex Bosworth)
4959,1663713014,028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,OpenNode.com,"[{'network': 'tcp', 'addr': '18.222.70.85:9735'}]",#000000,254,55.36298915,LN wallet,Used by businesses to offer ln payemnts
5184,1663753912,0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,okex,"[{'network': 'tcp', 'addr': '8.210.134.135:26658'}]",#3399ff,196,89.81318074,Exchange,
5349,1663617356,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,BCash_Is_Trash,"[{'network': 'tcp', 'addr': '73.114.40.246:9735'}, {'network': 'tcp', 'addr': '[2601:18c:8080:300f:219:d1ff:fe75:dc2f]:9735'}]",#ffaa00,970,49.89324198,Routing node,
7031,1663696252,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,LNBIG.com [lnd-39],"[{'network': 'tcp', 'addr': '213.174.156.83:9735'}]",#3399ff,353,42.48691184,Routing node,
8030,1663720172,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,1sats.com,"[{'network': 'tcp', 'addr': '18.236.90.250:9735'}, {'network': 'tcp', 'addr': 'k2aesot2ao2tzopaaebmzffaujtv3ryessb6t3xobpso6giuf2f7lhid.onion:9735'}]",#68f442,234,46.52711284,Routing node,
8491,1663745727,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,Kraken 🐙⚡,"[{'network': 'tcp', 'addr': '52.13.118.208:9735'}]",#5741d9,952,242.6844598,Exchange,
9109,1663753606,03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,River Financial 1,"[{'network': 'tcp', 'addr': '34.68.41.206:9735'}]",#f2a900,307,245.543553,Exchange,
9115,1663659241,0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,LNBIG.com [lnd-40],"[{'network': 'tcp', 'addr': '213.174.156.84:9735'}]",#3399ff,294,45.00589758,Routing node,
9410,1663735692,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,Bitrefill Routing,"[{'network': 'tcp', 'addr': '52.50.244.44:9735'}]",#3399ff,747,74.61236742,Routing node,
10326,1663743769,0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,allNice,"[{'network': 'tcp', 'addr': '135.181.118.177:9735'}, {'network': 'tcp', 'addr': '[2a01:4f9:4b:1e9f::2]:9735'}, {'network': 'tcp', 'addr': 'sioo43tvkudx56ksir3ndwynv2df3356dpjc6s4yy3abjtcmsys6wnad.onion:9735'}]",#660000,327,54.46349701,Routing node,
11149,1663748937,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,bfx-lnd0,"[{'network': 'tcp', 'addr': '34.65.85.39:9735'}]",#16b157,1155,634.8527828,Exchange,
11182,1663719353,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,LNBIG.com [lnd-11],"[{'network': 'tcp', 'addr': '46.229.165.150:9735'}]",#3399ff,447,105.5164888,Routing node,
11734,1663696245,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,LNBIG.com [lnd-12],"[{'network': 'tcp', 'addr': '46.229.165.151:9735'}]",#3399ff,513,114.4091596,Routing node,
12238,1663746960,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,WalletOfSatoshi.com,"[{'network': 'tcp', 'addr': '170.75.163.209:9735'}, {'network': 'tcp', 'addr': 'zlf6ewzg3wdpq5wvkrtvqc2x63qieb5j3pbesonkxqr7qhtapdss3vyd.onion:9735'}]",#3399ff,2728,152.9815197,LN Wallet,
12273,1663499310,035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,LNBIG.com [lnd-49/old-lnd-13],"[{'network': 'tcp', 'addr': '213.174.156.34:9735'}]",#3399ff,351,77.77867972,Routing node,
12691,1663753606,036b53093df5a932deac828cca6d663472dbc88322b05eec1d42b26ab9b16caa1c,okcoin,"[{'network': 'tcp', 'addr': '47.243.25.4:26658'}]",#3399ff,144,43.27861779,Exchange,
13087,1663739076,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,ln.nicehash.com [Nicehash],"[{'network': 'tcp', 'addr': '34.78.139.195:9735'}]",#cf1b99,1249,123.9414907,Business,Mining pool
13400,1663712549,037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,fixedfloat.com,"[{'network': 'tcp', 'addr': '185.5.53.91:9735'}]",#053456,198,41.72139859,Exchange,Also indirectly a Swap service due to exchange between on and off chin btc (same as Boltz)
13632,1661274935,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,ACINQ,"[{'network': 'tcp', 'addr': '3.33.236.230:9735'}, {'network': 'tcp', 'addr': 'of7husrflx7sforh3fw6yqlpwstee3wg5imvvmkp4bz6rbjxtg5nljad.onion:9735'}]",#49daaa,2976,376.7713869,Wallet,Borderline Routing node tbh
14911,1663748936,03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,River Financial 2,"[{'network': 'tcp', 'addr': '34.136.230.235:9735'}]",#ff9900,159,154.4109022,Exchange,
14953,1663711216,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,OpenNode.com,"[{'network': 'tcp', 'addr': '3.132.230.42:9735'}]",#000000,911,78.31627747,LN Wallet,
16160,1663750399,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,bfx-lnd1,"[{'network': 'tcp', 'addr': '34.65.85.39:9745'}]",#16b157,815,372.3645074,Exchange,
16439,1663749972,03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,Bitrefill,"[{'network': 'tcp', 'addr': '3.237.23.179:9735'}]",#3399ff,639,200.7120384,Business,
16695,1663728046,03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,cyberhub,"[{'network': 'tcp', 'addr': '137.184.232.43:9735'}, {'network': 'tcp', 'addr': 'g35e74kgodtfrbzcpmintkxd7euydievcwmdv3fph5pcuebynwucdjyd.onion:9735'}]",#093950,224,51.39773206,Routing node,