,total_nodes,total_channels,total_capacity,date,avg_channel_size,avg_node_capacity,median_channel_size,capacity_USD
0,17894.0,86747.0,4624.07816274,2022-09-01,0.0533053380836224,0.258415008535822,0.012,92714061.90482256
1,17895.0,86573.0,4628.2478397,2022-09-03,0.05346063830178,0.2586335758424141,0.012,92367978.56594238
2,17907.0,86962.0,4667.25304349,2022-09-04,0.0536700287883213,0.2606384678332495,0.012,92573983.99448502
3,17916.0,87013.0,4695.651562319999,2022-09-05,0.0539649427363727,0.2620926301808439,0.012,93929278.2008056
4,17916.0,86968.0,4689.0412686,2022-09-06,0.0539168575637015,0.261723669825854,0.012,92811553.6513677
5,17915.0,86927.0,4704.62066702,2022-09-07,0.0541215119240282,0.2626079077320681,0.012,88408996.34360649
6,17892.0,86878.0,4714.27075109,2022-09-08,0.0542631132287805,0.2634848396540353,0.012,90926591.3970634
7,17906.0,86832.0,4722.254732779999,2022-09-09,0.0543838070386493,0.2637247142175806,0.012,91242319.82818662
8,17906.0,86582.0,4728.32780077,2022-09-10,0.0546109791962532,0.2640638780727131,0.012,101043088.45394868
9,17891.0,86555.0,4744.490238269999,2022-09-11,0.0548147448243313,0.2651886556520038,0.012,102742552.8934678
10,17888.0,86591.0,4752.53396308,2022-09-12,0.0548848490383527,0.2656828020505367,0.012,103778470.25809827
11,17902.0,86630.0,4767.80402058,2022-09-13,0.0550364079485166,0.2663280091933862,0.012,106801289.31908268
12,17888.0,86617.0,4766.952807029999,2022-09-14,0.0550348408168142,0.2664888644359346,0.012,96167409.5298776
13,17893.0,86647.0,4784.44814405,2022-09-15,0.0552177010635105,0.2673921725842508,0.012,96806992.72330162
14,17884.0,86556.0,4786.04050462,2022-09-16,0.0552941506610749,0.2676157741344218,0.012,94285715.84708972
15,17881.0,86542.0,4800.33288216,2022-09-17,0.0554682452700422,0.2684599788691907,0.012,95065888.40495428
16,17875.0,86429.0,4784.25649322,2022-09-18,0.0553547593194413,0.2676507129074126,0.012,96251346.62037258
17,17882.0,86426.0,4793.08039984,2022-09-19,0.0554587786064378,0.2680393915579913,0.012,93070693.14158116
18,17876.0,86498.0,4806.48688446,2022-09-20,0.055567607163865,0.2688793289583799,0.012,93924906.0255605
19,17881.0,86632.0,4820.90453864,2022-09-21,0.0556480808320251,0.269610454596499,0.012,91018436.64429627
20,17892.0,86658.0,4820.47917185,2022-09-22,0.055626476168963,0.269420923979991,0.012,89024850.36968438
21,17887.0,86652.0,4825.10333951,2022-09-23,0.055683692696187,0.2697547570587578,0.012,93635762.40239748
22,17885.0,86524.0,4827.39662951,2022-09-24,0.0557925734999537,0.2699131467436399,0.012,93125935.94143926
23,17891.0,86544.0,4844.6687782,2022-09-25,0.0559792565423368,0.2707880374601755,0.012,91682401.37948029
24,17889.0,86429.0,4848.08934745,2022-09-26,0.0560933176069374,0.2710095224691151,0.012,91192269.74017364
25,17886.0,86468.0,4876.48733542,2022-09-27,0.0563964395547485,0.272642700180029,0.012,93779532.8879686
26,17878.0,86352.0,4872.74342123,2022-09-28,0.0564288426583055,0.272555287013648,0.012,92978766.31785811
27,17879.0,86356.0,4890.9107888,2022-09-29,0.0566366064755199,0.2735561714189831,0.012,94945637.14241408
28,17874.0,86370.0,4907.3621017,2022-09-30,0.056817900911196,0.2745530995692066,0.012022215,96152203.04517488
29,17880.0,86432.0,4963.23860662,2022-10-04,0.0574236232717049,0.2775860518243848,0.01236321,97440037.45867614
30,17862.0,86448.0,4983.54468176,2022-10-05,0.0576478886933185,0.2790026134676968,0.01248932,101388123.46164086
31,17852.0,86444.0,5001.15600926,2022-10-06,0.0578542872756929,0.2801454183990589,0.0125,100827006.00212848
32,17837.0,86221.0,4938.84596283,2022-10-07,0.0572812419576437,0.2768877032477434,0.01249998,98604652.30941647
33,17838.0,86201.0,4969.43039901,2022-10-08,0.0576493358430876,0.278586747337706,0.0125,97066939.79208653
34,17844.0,86131.0,4985.64543781,2022-10-09,0.0578844485470968,0.2794017842305537,0.0125,96817844.16337249
35,17852.0,86079.0,4975.6261644,2022-10-10,0.0578030200676123,0.2787153352229441,0.0125,96738163.8949922
36,17845.0,85953.0,4979.3149894,2022-10-11,0.0579306712901236,0.2790313807453068,0.0125,95261067.6156076
37,17852.0,85915.0,5005.74134752,2022-10-12,0.0582638811327474,0.2804022713152588,0.0125,95400870.26602694
38,17818.0,85478.0,4980.22676577,2022-10-13,0.0582632579818198,0.2795053746643843,0.0125,95395496.66430949
39,17804.0,85209.0,4983.92440558,2022-10-14,0.0584905867406025,0.2799328468647495,0.0125,96583022.50253832
40,17797.0,84949.0,4996.37917483,2022-10-15,0.058816221201309,0.2807427754582233,0.0125,95840595.2953808
41,17794.0,84679.0,5005.37174128,2022-10-16,0.0591099533683675,0.2812954783230302,0.0125,95451037.60212204
42,17807.0,84440.0,4997.4558759,2022-10-17,0.0591835134521553,0.2806455818442185,0.0125,96272289.33186533
43,17788.0,84299.0,5012.1630391,2022-10-18,0.0594569691111401,0.2817721519619968,0.0126,97990243.37429416
44,17776.0,83868.0,4988.89954406,2022-10-19,0.0594851378840559,0.280653664719847,0.0125,96436874.96754758
45,17788.0,83656.0,5009.57205846,2022-10-20,0.0598829977342928,0.2816264930548685,0.0125,95802504.99306262
46,17779.0,83542.0,5028.24167595,2022-10-21,0.0601881888864283,0.2828191504555937,0.013,95755521.48562089
47,17781.0,83680.0,5069.88673355,2022-10-22,0.0605866005443355,0.2851294490495473,0.013058635,97171477.08991271
48,17748.0,83599.0,5075.45139228,2022-10-23,0.0607118672744889,0.2859731458350236,0.01357163,97487087.89881556
49,17658.0,83330.0,5093.82782458,2022-10-24,0.0611283790301212,0.2884713911303658,0.01420219,99699454.4793745
50,17569.0,82802.0,5117.64229369,2022-10-25,0.0618057811851163,0.2912881947572429,0.015,98929450.237859
51,17474.0,82350.0,5120.1813192,2022-10-26,0.0621758508706739,0.2930171294036854,0.015,102850003.79140784
52,17370.0,81833.0,5127.23545684,2022-10-27,0.0626548636471839,0.2951776313667242,0.015,106527340.55025502
53,17244.0,81409.0,5161.96415204,2022-10-28,0.0634077823341399,0.2993484198585015,0.015,104763507.81561436
54,17212.0,80658.0,5134.11905959,2022-10-29,0.0636529427904237,0.2982871868225656,0.015,105762287.87445743
55,17181.0,80060.0,5100.33576005,2022-10-30,0.0637064171877342,0.2968590745620162,0.015,106189959.5880354
56,17167.0,80170.0,5129.73965005,2022-10-31,0.0639857758519396,0.2988139832265393,0.015,105829863.31130403
57,17164.0,80221.0,5134.80954722,2022-11-01,0.0640082964213859,0.2991615909589839,0.015,105225392.73497868
58,17151.0,80000.0,5150.88433152,2022-11-02,0.064386054144,0.3003255980129438,0.015,105491501.84829912
59,17138.0,79777.0,5136.99146328,2022-11-03,0.0643918856723115,0.2997427624740343,0.015,103512073.1922749
60,17132.0,79663.0,5133.22151361,2022-11-04,0.0644367085549125,0.2996276858282746,0.015,103732089.01481576
61,17122.0,79562.0,5134.72388927,2022-11-05,0.0645373908306729,0.2998904268934704,0.015,108602491.09239404
62,17117.0,79566.0,5166.33239391,2022-11-06,0.064931407811251,0.3018246418128176,0.015,110050991.13214144
63,17118.0,79498.0,5174.08995854,2022-11-07,0.0650845299069159,0.3022601915258792,0.015,108193273.74614696
64,17121.0,79580.0,5188.26176636,2022-11-08,0.0651955487102287,0.3030349726277671,0.015,106845661.98574091
65,17092.0,79339.0,5157.14736681,2022-11-09,0.0650014162871979,0.3017287249479288,0.015,95637750.7732814
66,17082.0,79277.0,5138.53259978,2022-11-10,0.0648174451578642,0.3008156304753542,0.015,81291688.4991716
67,17041.0,79278.0,5120.92611551,2022-11-11,0.0645945421871137,0.3005061977295933,0.015,89921772.68273748
68,17025.0,79301.0,5134.27137212,2022-11-12,0.0647440936699411,0.3015724741333333,0.015,87322249.90103278
69,17030.0,79346.0,5145.33384182,2022-11-13,0.0648467955765886,0.3021335197780387,0.015,86307315.3293045
70,17027.0,79255.0,5138.16326294,2022-11-14,0.0648307774012996,0.3017656230069889,0.015,83790443.26549616
71,16863.0,78766.0,5132.67588321,2022-11-15,0.0651635970242236,0.304375015312222,0.015,85161563.56125566
72,16850.0,78555.0,5100.77320348,2022-11-16,0.0649325084778817,0.3027165105922849,0.015,86096665.00978741
73,16820.0,78419.0,5103.31946663,2022-11-17,0.0650775891892271,0.3034078160897741,0.015,84960317.64642957
74,16800.0,78409.0,5116.40008132,2022-11-18,0.065252714373605,0.3045476238880952,0.0152,85342627.80043468
75,16756.0,78182.0,5147.321573,2022-11-19,0.0658376809623698,0.3071927412867032,0.01565415,85846771.82841536
76,16754.0,77906.0,5126.41810461,2022-11-20,0.0658026096142787,0.3059817419487883,0.015025625,85527724.26024395
77,16742.0,77718.0,5035.91377431,2022-11-21,0.0647972641384235,0.3007952320099152,0.015,81851728.12212501
78,16732.0,77710.0,5060.43491224,2022-11-22,0.0651194815627332,0.3024405278651685,0.015001,79753415.69953573
79,16730.0,77826.0,5071.81943488,2022-11-23,0.0651687024243826,0.3031571688511655,0.0155,82154599.16104496
80,16699.0,77685.0,5074.0211901,2022-11-24,0.0653153271558215,0.3038517989161027,0.01575817,84182984.0845253
81,16699.0,77735.0,5085.36825908,2022-11-25,0.0654192867959091,0.3045313048134618,0.016,84358427.95101821
82,16694.0,77751.0,5091.78839964,2022-11-26,0.0654883975722498,0.305007092346951,0.016,84056923.191429
83,16688.0,77963.0,5130.53827372,2022-11-27,0.0658073480204712,0.3074387747914669,0.01690622,84405204.32625279
84,16693.0,78089.0,5142.62965162,2022-11-28,0.0658560059882954,0.3080710268747379,0.017,84446452.9673973
85,16678.0,77958.0,5116.74570352,2022-11-30,0.0656346456235408,0.3067961208490226,0.017,84077290.8836429
86,16634.0,77677.0,5088.04405553,2022-12-01,0.0655025819165261,0.3058821723896838,0.017,87322792.89642529
87,16642.0,77698.0,5086.38688412,2022-12-02,0.0654635496939432,0.3056355536666266,0.017,86359931.8061952
88,16647.0,77683.0,5072.67864345,2022-12-03,0.0652997263680599,0.304720288547486,0.01697572,86714854.3436696
89,16648.0,77559.0,5054.54700273,2022-12-04,0.0651703477704715,0.3036128665743632,0.01641666,85362756.6916751
90,16624.0,77440.0,5068.59071087,2022-12-05,0.0654518428573088,0.3048959763516602,0.017,86732507.78263682
91,16629.0,77384.0,5081.71064614,2022-12-06,0.0656687512423756,0.3055932795802513,0.0175,86220571.459354
92,16620.0,77365.0,5090.94127226,2022-12-07,0.06580419145944548,0.3063141559723225,0.0175079,86986469.86729594
